,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,756,48,4,1.9222585,0.13351135,68.592438,389.64581,Diversifier,No,RiceAndMaize,Yes,323020.72,0,101,ApplyImprovedSeed,25.464638,17.982578,414.28571,1144.301,3
2,758,38,4,1.0117151,52.189781,50,270.82724,Subsistence,No,Rice,Yes,74681.438,0,101,None,25.413345,18.50839,0,1144.301,4
3,763,53,6,2.4281161,0.083402835,12.446802,493.79846,Diversifier,No,RiceMaizeAndVegit,Yes,169391.23,0,101,UseIrrigationAndFertilizerApplication,21.396549,18.584782,414.28571,1144.301,8
4,788,53,10,3.642174,4.6153846,16.60988,160.61836,Diversifier,Yes,RiceAndMaize,Yes,353500,0,101,None,26.439198,26.245283,1000,1040.9524,4
5,805,24,6,0.50585753,1.9230769,55.555557,925.16168,Diversifier,No,VegitAndRice,Yes,360155.91,0,121,None,16.587296,40.361366,0,1232.2581,8
6,813,44,6,1.416401,19.81982,58.333332,235.10291,Subsistence,No,Rice,Yes,314144.09,0,121,ApplyImprovedSeed,16.53504,39.586689,0,1232.2581,4
7,815,51,6,0.80937201,0.10405827,76.582275,1187.3403,Subsistence,No,VegitAndRice,Yes,130559.13,0,121,UseIrrigationAndFertilizerApplication,23.567518,40.460033,0,1232.2581,10
8,818,25,2,0.80937201,8.1300812,3.9370079,455.90903,Diversifier,Yes,RiceAndMaize,Yes,334241.25,6.3412948,121,CropMultipleTimes,28.908257,42.26936,660,1232.2581,8
9,841,32,7,4.097446,100,75.714287,42.953587,Subsistence,No,RiceAndMaize,Yes,181022.14,0,61,None,17.996609,22.828434,861.11108,1167.816,6
10,850,52,4,1.821087,21.923986,46.878067,405.75583,Diversifier,No,Maize,Yes,64649.211,0,61,None,17.370804,24.274155,861.11108,0,7
11,855,49,4,2.4281161,26.086956,49.629631,132.6131,Diversifier,No,RiceAndMaize,Yes,2109099,5.2941446,61,ApplyFertilizer,18.740238,21.982216,861.11108,1167.816,1
12,859,74,4,3.3386595,99.009903,25.149626,121.00665,Subsistence,Yes,VegitAndRice,Yes,356906,16.912334,61,None,16.528711,14.649017,0,1167.816,5
13,873,50,11,8.9030924,0,7.4437823,176.11858,AgroPastoralist,No,RiceMaizeAndVegit,No,211561.61,0,241,None,18.347677,49.334061,777.77777,1104.762,1
14,885,52,11,4.0468602,5.531775,25,31.269096,AgroPastoralist,No,RiceAndMaize,Yes,291115.84,0,241,None,18.7661,42.654026,805.68878,946.66669,3
15,891,29,4,1.3152295,1.591512,66.666664,573.28394,Subsistence,Yes,Rice,Yes,167450,0,23,None,19.217382,32.679646,0,1860,5
16,902,48,6,3.3386595,78.571426,52.63158,670.92798,Subsistence,No,Rice,Yes,635866.38,0,23,ApplyImprovedSeed,18.938669,35.014027,0,1860,9
17,906,51,4,1.821087,3.5190616,13.993175,374.50159,Subsistence,No,RiceAndMaize,Yes,317294.16,0,23,None,24.78945,23.570866,611.11108,1138.2858,1
18,915,68,4,1.416401,6.9868994,45.085663,323.35474,Subsistence,No,Rice,Yes,269875,0,23,UseIrrigation,17.147486,23.30098,0,1860,3
19,934,49,5,0.80937201,0.12903225,73.719254,957.53247,Subsistence,Yes,Rice,Yes,159713.05,0,83,ApplyFertilizer,16.933517,3.5324085,0,1312.6154,2
20,951,35,5,0.70820051,69.230766,74.78315,367.12766,Subsistence,Yes,VegitAndRice,Yes,40356.176,0,23,None,16.646494,19.516272,0,1138.2858,10
21,989,38,7,1.821087,2.8208332,25.528811,622.93378,Subsistence,Yes,Rice,Yes,193316.83,0,11,None,18.864561,6.3344793,0,1247.595,5
22,990,66,5,2.6304591,0.89585668,66.666664,678.96893,Subsistence,No,Rice,Yes,150338.3,0,11,None,18.825342,6.6493683,0,1247.595,1
23,993,70,6,4.2492032,6.2135921,29.466129,121.1992,Subsistence,No,Rice,Yes,176703.58,38.890911,91,None,25.801111,2.0244956,0,1403.9215,2
24,1000,30,3,0.50585753,11.392406,50,937.02271,Subsistence,No,Rice,Yes,86058.813,0,91,None,23.921051,2.01196,0,1403.9215,2
25,1001,39,3,1.1128865,54.782608,0,413.33954,Subsistence,No,Rice,Yes,13921.563,0,91,None,25.764744,2.0714397,0,1403.9215,2
26,1005,33,4,0.60702902,23.076923,19.070118,256.98935,Subsistence,No,Rice,Yes,110993.77,0,91,None,25.513428,2.2085786,0,1403.9215,9
27,1036,57,4,1.0117151,52,18.32617,222.39464,Diversifier,No,RiceAndMaize,Yes,128381.23,0,83,None,16.645836,3.4409809,1111.1111,1466.6666,5
28,1041,33,6,0.50585753,0,0,245.45778,Diversifier,Yes,Maize,No,8861.1113,0,83,CropMultipleTimes,26.132467,3.1250215,1111.1111,0,2
29,1044,30,4,0.50585753,1.5384616,0,128.49467,Subsistence,No,Rice,Yes,35833.332,0,83,ApplyImprovedSeed,15.142417,3.3801527,0,1466.6666,2
30,1052,54,5,1.0117151,76.84729,66.754387,200.64938,Subsistence,No,Rice,Yes,110733.34,0,83,None,17.280441,2.391187,0,1466.6666,10
