,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,750,45,5,1.7199155,4.347826,19.461788,200.59125,Subsistence,No,RiceAndMaize,Yes,405027.19,0,101,None,17.59947,18.193504,414.28571,1144.301,10
2,752,49,4,2.1246016,33.333332,37.497826,146.85106,Subsistence,Yes,Rice,Yes,595077.19,32.27763,101,None,25.413345,18.50839,414.28571,1144.301,10
3,753,55,6,4.8562322,14.072847,65.180099,124.37626,Diversifier,Yes,VegitAndMaize,Yes,234051.44,0,101,ApplyFertilizer,17.452868,18.226015,414.28571,1144.301,6
4,754,46,5,0.9105435,43.826088,33.333336,631.49097,Subsistence,Yes,VegitAndRice,Yes,1421.8079,0,101,ApplyFertilizer,17.452868,18.226015,0,1144.301,3
5,755,32,2,0.9105435,54.545456,47.074646,422.8244,Subsistence,No,Rice,Yes,220398.59,0,101,None,20.577631,19.077848,414.28571,1144.301,1
6,756,48,4,1.9222585,0.13351135,68.592438,389.64581,Diversifier,No,RiceAndMaize,Yes,323020.72,0,101,ApplyImprovedSeed,25.464638,17.982578,414.28571,1144.301,3
7,757,55,5,2.9339736,59.299191,56.410255,379.34903,Diversifier,No,RiceAndMaize,Yes,921355.19,0,101,ApplyImprovedSeed,17.110718,18.963991,414.28571,1144.301,6
8,758,38,4,1.0117151,52.189781,50,270.82724,Subsistence,No,Rice,Yes,74681.438,0,101,None,25.413345,18.50839,0,1144.301,4
9,759,46,4,2.0234301,96.610168,63.470318,87.47522,Diversifier,Yes,RiceMaizeAndVegit,Yes,1399863.6,59.099186,101,UseIrrigationAndFertilizerApplication,25.464638,17.996923,414.28571,1144.301,9
10,760,55,4,3.439831,76.719574,71.498627,439.55649,Subsistence,Yes,RiceMaizeAndVegit,Yes,517500.25,7.2886271,101,ApplyFertilizer,16.686722,16.323246,414.28571,1144.301,10
11,761,55,4,4.8562322,31.04612,49.109791,183.06374,Diversifier,No,RiceMaizeAndVegit,Yes,147613.84,0,101,None,17.862169,17.885519,414.28571,1144.301,9
12,763,53,6,2.4281161,0.083402835,12.446802,493.79846,Diversifier,No,RiceMaizeAndVegit,Yes,169391.23,0,101,UseIrrigationAndFertilizerApplication,21.396549,18.584782,414.28571,1144.301,8
13,764,61,8,2.8328021,1.6806723,0,84.015755,Diversifier,Yes,RiceAndMaize,Yes,108040.61,64.803574,101,None,17.157154,17.086859,414.28571,1144.301,2
14,765,32,4,4.2492032,34.117645,80,220.04126,Subsistence,No,Rice,Yes,834819.06,0,101,None,15.547224,3.9284773,0,1144.301,7
15,766,39,8,4.1480317,3.0495553,79.451828,189.72855,Subsistence,No,RiceAndMaize,Yes,333598.22,0,101,None,15.142417,15.522437,414.28571,1144.301,2
16,767,42,7,4.6538892,87.628868,0,104.21391,Subsistence,No,Rice,Yes,1416497.8,13.710546,101,None,16.587296,16.986769,0,1144.301,8
17,768,37,6,1.214058,7.5353217,97.312325,327.92914,Diversifier,No,RiceAndMaize,Yes,168503.83,0,101,None,16.240372,15.665535,414.28571,1144.301,10
18,769,26,4,0.202343,96.92308,83.333336,321.23669,Subsistence,No,Rice,Yes,877338.63,0,101,ApplyFertilizer,14.742821,16.10825,0,1144.301,9
19,770,41,4,3.642174,52.427185,49.77169,56.559628,Subsistence,No,Rice,Yes,587020.13,0,101,ApplyImprovedSeed,23.8552,15.809577,0,1144.301,9
20,773,41,8,8.4984064,38.650307,2.0995171,57.540199,AgroPastoralist,No,RiceAndMaize,Yes,827980.81,0,101,None,15.547224,16.732565,414.28571,1144.301,5
21,775,26,2,1.0117151,0.28490028,100,346.93564,Subsistence,No,Rice,Yes,211552.27,0,101,None,15.547224,15.450228,0,1144.301,8
22,776,63,4,5.0585752,50.746269,22.811272,79.469017,Diversifier,No,RiceAndMaize,Yes,117016.38,0,101,None,17.84981,17.268314,414.28571,1144.301,10
23,777,34,5,6.0702901,0.24390244,62.040237,135.08415,Diversifier,No,RiceAndMaize,Yes,166039.16,0,101,None,24.771492,15.862937,414.28571,1144.301,4
24,779,38,5,12.14058,68.478264,33.67347,15.155783,AgroPastoralist,Yes,RiceAndMaize,Yes,986050.81,36.978363,101,ApplyFertilizer,17.528452,34.962547,1000,1040.9524,2
25,780,47,6,4.1480317,61.146496,83.333336,28.386957,Subsistence,No,Rice,Yes,268846.97,5.966938,101,None,29.996162,27.641029,0,1040.9524,1
26,781,38,6,7.284348,4.2042041,26.775957,91.428909,Diversifier,No,RiceAndMaize,Yes,398690.5,0,101,None,21.478582,33.874649,1000,1040.9524,1
27,782,35,5,3.642174,75.543953,49.603176,315.47092,Diversifier,No,RiceAndMaize,Yes,486714.31,6.0291791,101,ApplyImprovedSeed,17.503759,34.862686,1000,1040.9524,8
28,783,37,2,0.70820051,70.09346,64.008781,453.26147,Subsistence,Yes,Rice,Yes,237837.02,0,101,ApplyImprovedSeed,18.439484,28.176243,0,1040.9524,2
29,784,62,3,10.11715,87.921844,11.049724,55.648083,Subsistence,Yes,RiceAndMaize,Yes,670809.56,0,101,ApplyImprovedSeed,17.503759,34.862686,1000,1040.9524,1
30,785,45,6,1.618744,0.11376564,33.034172,543.01361,Diversifier,No,RiceAndMaize,Yes,174213.86,0,101,None,15.528296,35.605583,1000,1040.9524,1
31,786,42,7,2.8328021,0,4.5225482,186.38789,Diversifier,Yes,RiceAndMaize,Yes,267653.06,21.245928,101,None,17.514021,28.975018,1000,1040.9524,1
32,787,37,6,0.9105435,1.8348624,75,359.12616,Subsistence,Yes,Rice,Yes,74095.242,0,101,None,22.468906,32.483341,0,1040.9524,6
33,788,53,10,3.642174,4.6153846,16.60988,160.61836,Diversifier,Yes,RiceAndMaize,Yes,353500,0,101,None,26.439198,26.245283,1000,1040.9524,4
34,789,36,3,0.404686,85.271317,36.745888,956.297,Subsistence,Yes,RiceAndMaize,Yes,679261.94,0,101,ApplyFertilizer,26.206575,29.17342,780.53406,1040.9524,9
35,790,48,3,4.6538892,91.616768,4.2105265,430.60757,Subsistence,No,RiceAndMaize,Yes,2002238.1,0.55666,101,None,21.610201,29.975672,1000,1040.9524,6
36,791,73,3,10.319493,39.758553,19.511696,60.201599,Diversifier,No,RiceMaizeAndVegit,Yes,2131333.3,0,101,None,16.444361,27.083479,1000,1040.9524,5
37,793,45,3,1.618744,14.792899,23.455826,104.40193,Diversifier,Yes,RiceAndMaize,Yes,303238.09,0,101,None,17.503759,34.762833,1000,1040.9524,8
38,794,41,3,2.1246016,82.758621,66.666664,204.74426,Subsistence,No,RiceAndMaize,Yes,722360.25,0,121,ApplyImprovedSeed,24.953814,40.267483,660,1232.2581,5
39,795,39,3,1.3152295,83.660133,46.980209,116.32951,Subsistence,Yes,Rice,Yes,514655.91,0,121,ApplyImprovedSeed,16.905748,40.092308,0,1232.2581,4
40,796,36,4,1.214058,71.91011,46.666668,879.69434,Subsistence,No,Rice,Yes,274032.25,0,121,None,23.567518,40.029663,0,1232.2581,10
41,797,28,5,0.50585753,6.521739,56.015038,727.47754,Subsistence,No,Rice,Yes,274387.09,54.980785,121,None,25.604401,41.077747,0,1232.2581,5
42,798,41,6,2.2257731,40.191387,33.333332,93.899956,Subsistence,No,Rice,Yes,39005.375,0,121,None,17.738552,40.806843,0,1232.2581,7
43,799,48,7,0.80937201,6.6604996,46.666668,333.90085,Subsistence,Yes,Rice,Yes,161184.34,0,121,None,23.162054,40.070976,0,1232.2581,10
44,800,66,5,2.4281161,15.15435,54.166668,220.1295,Subsistence,No,VegitAndRice,Yes,381312.91,0,121,None,17.280441,40.538502,0,1232.2581,5
45,801,44,8,1.0117151,57.915058,28.571428,256.00095,Subsistence,No,Rice,Yes,48991.938,0,121,None,25.107964,40.536125,0,1232.2581,9
46,802,55,7,4.0468602,4.2007003,46.666668,211.76912,Subsistence,Yes,Rice,Yes,158041.48,0,121,None,23.567518,40.007282,0,1232.2581,2
47,803,60,2,2.0234301,100,30.539946,420.57297,Subsistence,No,RiceAndMaize,Yes,700211.5,13.259624,121,CropMultipleTimes,22.468906,39.817623,660,1232.2581,5
48,804,46,7,2.7316306,80.645164,50.813007,158.87947,Subsistence,No,Rice,Yes,381299.56,4.0379601,121,None,25.241495,40.41098,0,1232.2581,7
49,805,24,6,0.50585753,1.9230769,55.555557,925.16168,Diversifier,No,VegitAndRice,Yes,360155.91,0,121,None,16.587296,40.361366,0,1232.2581,8
50,806,39,10,3.237488,0,0,29.034857,Diversifier,Yes,RiceAndMaize,No,118549.69,81.866768,121,None,23.8552,39.952099,660,1232.2581,1
