"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","IfHireLabour","perCapitaIncome","percentNonfarmIncome","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket"
"1",841,32,7,4.09744596481323,100,75.7142868041992,42.9535865783691,"Subsistence","No","RiceAndMaize","Yes",181022.140625,0,"None",17.9966084308485,22.8284339904785
"2",888,70,11,6.77849054336548,6.45161294937134,0,128.052108764648,"AgroPastoralist","No","Rice","Yes",396948.09375,0,"None",18.1809680448328,41.5864143371582
"3",802,55,7,4.0468602180481,4.20070028305054,46.6666679382324,211.769119262695,"Subsistence","Yes","Rice","Yes",158041.484375,0,"None",23.5675185356614,40.0072822570801
"4",780,47,6,4.14803171157837,61.1464958190918,83.3333358764648,28.3869571685791,"Subsistence","No","Rice","Yes",268846.96875,5.96693801879883,"None",29.9961617606786,27.6410293579102
"5",837,43,11,2.02343010902405,35,28.5306701660156,296.526184082031,"Diversifier","No","RiceAndMaize","Yes",145443.828125,0,"None",19.2972209729507,62.5105514526367
"6",1030,43,6,0.910543501377106,4.10958909988403,66.6666641235352,240.515686035156,"Subsistence","No","Rice","Yes",113366.6640625,0,"None",16.4762200601749,2.87717318534851
"7",876,64,11,0.101171500980854,2.15053772926331,70.7317047119141,2757.69360351562,"Diversifier","No","RiceAndMaize","Yes",290909.09375,0,"None",18.5714615011821,49.6927642822266
"8",914,46,3,1.41640102863312,0.195694714784622,44.2164840698242,360.773529052734,"Subsistence","No","Rice","Yes",1012833.3125,0,"UseIrrigation",30.361357861779,23.4816074371338
"9",827,31,2,0.910543501377106,0.952380955219269,48.3173065185547,345.947235107422,"Diversifier","No","RiceAndMaize","Yes",887328.5625,16.316255569458,"ApplyImprovedSeed",19.0735842613385,60.4248237609863
"10",807,28,3,2.2257730960846,8.04020118713379,46.5441017150879,89.4071350097656,"Subsistence","No","RiceAndMaize","Yes",339793.09375,8.90964412689209,"CropMultipleTimes",23.8552005899586,40.0023460388184
"11",985,41,5,1.71991550922394,90.4109573364258,20.8737144470215,169.775787353516,"Subsistence","Yes","Rice","Yes",307358.34375,0,"None",18.6730993559411,6.9376163482666
"12",987,61,6,0.505857527256012,70.6624603271484,49.0196075439453,156.664657592773,"Subsistence","No","Rice","Yes",117237.4765625,0,"None",26.7455721654539,7.09982490539551
"13",870,36,5,2.93397355079651,37.9310340881348,75,79.0736541748047,"Subsistence","No","Rice","Yes",157428.59375,0,"None",23.5675185356614,49.5707321166992
"14",871,40,8,6.87966203689575,0,43.4227294921875,347.982208251953,"AgroPastoralist","No","RiceAndMaize","No",912036.125,0,"None",19.5902749719504,48.8380241394043
"15",820,47,5,1.82108700275421,55.3530769348145,57.1428565979004,401.774658203125,"Subsistence","No","Rice","Yes",385735.5,5.82296323776245,"None",16.5872948631466,40.7372207641602
"16",938,36,7,3.03514504432678,76.7494354248047,41.3223152160645,145.956787109375,"Subsistence","Yes","Rice","Yes",203469.390625,0,"None",26.4391979793241,17.4269886016846
"17",799,48,7,0.809372007846832,6.66049957275391,46.6666679382324,333.900848388672,"Subsistence","Yes","Rice","Yes",161184.34375,0,"None",23.1620534531407,40.0709762573242
"18",761,55,4,4.85623216629028,31.0461196899414,49.109790802002,183.063735961914,"Diversifier","No","RiceMaizeAndVegit","Yes",147613.84375,0,"None",17.8621691908997,17.88551902771
