"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","IfHireLabour","perCapitaIncome","percentNonfarmIncome","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket"
"1",792,50,4,6.17146158218384,35.0622406005859,53.5475234985352,156.202865600586,"Diversifier","No","RiceMaizeAndVegit","Yes",718734.3125,0,"ApplyFertilizer",21.9573243051746,29.7764987945557
"2",952,51,6,5.96911859512329,83.7288131713867,61.2113418579102,49.4210319519043,"Subsistence","Yes","Rice","Yes",1521394.625,0,"UseIrrigation",19.89102910699,14.5898323059082
"3",883,31,7,0.404686003923416,100,41.1392402648926,963.710144042969,"Subsistence","No","RiceAndMaize","Yes",211040.859375,0,"None",23.5675185356614,44.9393920898438
"4",767,42,7,4.65388917922974,87.6288681030273,0,104.213912963867,"Subsistence","No","Rice","Yes",1416497.75,13.710545539856,"None",16.5872948631466,16.9867687225342
"5",1018,37,3,1.61874401569366,63.0824356079102,64.1025695800781,517.067565917969,"Subsistence","Yes","Rice","Yes",942168.8125,9.65534019470215,"ApplyImprovedSeed",28.5256899473296,12.4745578765869
"6",897,29,3,1.21405804157257,33.8709678649902,44.1176452636719,51.0683975219727,"Subsistence","No","Rice","Yes",662666.6875,0,"None",21.3151282892167,32.1418113708496
"7",997,45,6,2.02343010902405,11.2612609863281,75,219.42936706543,"Subsistence","No","RiceAndMaize","Yes",22138.546875,0,"None",25.359277891818,2.33984994888306
"8",1015,53,9,3.94568848609924,19.7916660308838,100,194.642837524414,"Subsistence","No","Rice","Yes",74321.390625,0,"None",18.4375955347534,12.156135559082
"9",895,35,7,2.42811608314514,45.5252914428711,20.5882358551025,105.843376159668,"Subsistence","Yes","Rice","Yes",666428.5625,5.94884014129639,"None",18.8390844829407,33.006721496582
"10",763,53,6,2.42811608314514,0.0834028348326683,12.4468021392822,493.798461914062,"Diversifier","No","RiceMaizeAndVegit","Yes",169391.234375,0,"UseIrrigationAndFertilizerApplication",21.3965483700753,18.5847816467285
"11",885,52,11,4.0468602180481,5.53177499771118,25,31.2690963745117,"AgroPastoralist","No","RiceAndMaize","Yes",291115.84375,0,"None",18.7660995809948,42.6540260314941
"12",796,36,4,1.21405804157257,71.9101104736328,46.6666679382324,879.6943359375,"Subsistence","No","Rice","Yes",274032.25,0,"None",23.5675185356614,40.0296630859375
"13",938,36,7,3.03514504432678,76.7494354248047,41.3223152160645,145.956787109375,"Subsistence","Yes","Rice","Yes",203469.390625,0,"None",26.4391979793241,17.4269886016846
"14",846,45,9,5.05857515335083,1.26879703998566,70.5716323852539,280.447875976562,"Diversifier","Yes","RiceAndMaize","Yes",46446.35546875,0,"CropMultipleTimes",18.2455228351054,17.5513973236084
"15",797,28,5,0.505857527256012,6.52173900604248,56.0150375366211,727.4775390625,"Subsistence","No","Rice","Yes",274387.09375,54.980785369873,"None",25.6044003343822,41.0777473449707
"16",780,47,6,4.14803171157837,61.1464958190918,83.3333358764648,28.3869571685791,"Subsistence","No","Rice","Yes",268846.96875,5.96693801879883,"None",29.9961617606786,27.6410293579102
"17",822,42,6,1.51757252216339,69.5652160644531,76,106.090484619141,"Subsistence","Yes","Rice","Yes",292534.09375,0,"None",19.1307426715714,41.9805946350098
"18",855,49,4,2.42811608314514,26.0869560241699,49.6296310424805,132.613098144531,"Diversifier","No","RiceAndMaize","Yes",2109099,5.29414463043213,"ApplyFertilizer",18.7402386545419,21.9822158813477
"19",908,61,3,1.21405804157257,6.55737686157227,48.355899810791,251.223571777344,"Subsistence","No","Rice","Yes",238970.515625,0,"ApplyImprovedSeed",17.6336520109082,23.4945335388184
"20",762,47,4,0.910543501377106,87.75,84.6851959228516,439.298065185547,"Diversifier","No","RiceMaizeAndVegit","Yes",896967.75,2.58807802200317,"UseIrrigationAndFertilizerApplication",25.4646384008269,18.0118179321289
"21",839,38,5,4.45154619216919,79.6571426391602,54.3287773132324,196.560913085938,"Subsistence","Yes","Rice","Yes",1356565.375,0,"CropMultipleTimes",18.1579785280589,24.5199241638184
"22",939,28,3,0.505857527256012,39.2000007629395,30.769229888916,247.10514831543,"Subsistence","Yes","Rice","Yes",110304.7734375,0,"ApplyFertilizer",18.6548431048592,18.7209606170654
