"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"1",980,52,6,2.2257731,2.9126213,66.666664,185.10422,"Subsistence","Yes","Rice",84597.148,0,11,"None",26.799639,6.553556,0,1247.595
"2",822,42,6,1.5175725,69.565216,76,106.09048,"Subsistence","Yes","Rice",292534.09,0,121,"None",19.130743,41.980595,0,1232.2581
"3",1012,65,2,5.2609181,99.130432,46.032707,153.01512,"Diversifier","No","RiceAndMaize",3771724.3,0,11,"None",17.452291,12.02346,944.44446,1247.595
"4",997,45,6,2.0234301,11.261261,75,219.42937,"Subsistence","No","RiceAndMaize",22138.547,0,91,"None",25.359278,2.3398499,805.68878,1403.9215
"5",765,32,4,4.2492032,34.117645,80,220.04126,"Subsistence","No","Rice",834819.06,0,101,"None",15.547224,3.9284773,0,1144.301
"6",851,47,6,1.416401,2.7027028,47.684444,156.73528,"Diversifier","No","RiceMaizeAndVegit",379679.03,0,61,"ApplyFertilizer",17.576656,24.094007,861.11108,1167.816
"7",981,47,7,1.416401,36.226414,66.666664,187.0939,"Subsistence","Yes","Rice",95173.258,0,11,"None",19.099529,6.4641552,0,1247.595
"8",895,35,7,2.4281161,45.525291,20.588236,105.84338,"Subsistence","Yes","Rice",666428.56,5.9488401,23,"None",18.839085,33.006721,0,1860
"9",1021,33,3,1.3152295,43.783783,66.666664,281.3197,"Subsistence","No","Rice",346667.66,0,11,"None",17.014219,11.403572,0,1247.595
"10",977,61,6,1.0117151,14.522821,50,238.20937,"Diversifier","No","VegitAndRice",26475.344,0,11,"None",19.837683,7.3443432,0,1247.595
"11",914,46,3,1.416401,0.19569471,44.216484,360.77353,"Subsistence","No","Rice",1012833.3,0,23,"UseIrrigation",30.361359,23.481607,0,1860
"12",1011,38,4,1.214058,9.4117651,44.275215,140.02626,"Diversifier","No","RiceAndMaize",230907.88,0,11,"UseIrrigationAndFertilizerApplication",27.084026,11.842398,944.44446,1247.595
"13",1004,48,6,0.60702902,0.27942717,61.666668,589.5517,"Subsistence","No","Rice",87745.094,0,91,"None",25.464638,2.2085786,0,1403.9215
"14",899,39,10,12.342923,25.161291,66.666664,100.46243,"AgroPastoralist","Yes","Rice",822900,12.539185,23,"None",26.899723,33.184685,0,1860
"15",893,24,3,1.124,51.724136,86.666664,103.20285,"Subsistence","No","Rice",655833.31,11.801897,23,"None",18.926693,33.118904,0,1860
"16",944,88,1,0.404686,1.9607843,33.333332,504.09451,"Subsistence","No","Rice",181114.3,0,23,"None",18.110004,19.924753,0,1138.2858
"17",908,61,3,1.214058,6.5573769,48.3559,251.22357,"Subsistence","No","Rice",238970.52,0,23,"ApplyImprovedSeed",17.633652,23.494534,676.88849,1138.2858
"18",1032,58,1,0.70820051,8.7378645,73.837952,145.43904,"Diversifier","No","RiceAndMaize",1065930.1,0,83,"CropMultipleTimes",18.118771,2.9242716,1111.1111,1466.6666
"19",965,48,7,6.0702901,56.52174,21.549213,37.889458,"Diversifier","Yes","RiceAndMaize",844024.06,0,11,"UseIrrigationAndFertilizerApplication",17.393709,13.083929,944.44446,1247.595
"20",779,38,5,12.14058,68.478264,33.67347,15.155783,"AgroPastoralist","Yes","RiceAndMaize",986050.81,36.978363,101,"ApplyFertilizer",17.528452,34.962547,1000,1040.9524
"21",961,41,5,0.9105435,81.549812,52.727276,297.62445,"Subsistence","No","Rice",805425.88,0,11,"UseIrrigationAndFertilizerApplication",18.032787,14.084079,0,1247.595
"22",845,49,5,0.80937201,0.75,39.215687,494.21033,"Diversifier","No","RiceMaizeAndVegit",223620.7,0,61,"CropMultipleTimes",19.933668,23.517136,861.11108,1167.816
"23",957,51,6,6.2726331,1.2195122,0,156.87192,"Subsistence","No","Rice",175829.8,0,11,"None",17.440956,15.455795,0,1247.595
"24",859,74,4,3.3386595,99.009903,25.149626,121.00665,"Subsistence","Yes","VegitAndRice",356906,16.912334,61,"None",16.528711,14.649017,0,1167.816
"25",814,38,4,1.416401,57.943924,25,302.17432,"Subsistence","No","Rice",221008.06,0,121,"None",27.986359,40.997601,0,1232.2581
"26",886,39,4,5.7161899,72.222221,0,113.36223,"AgroPastoralist","No","Rice",15712500,91.893127,241,"None",16.705652,42.163525,0,946.66669
"27",773,41,8,8.4984064,38.650307,2.0995171,57.540199,"AgroPastoralist","No","RiceAndMaize",827980.81,0,101,"None",15.547224,16.732565,414.28571,1144.301
"28",811,40,4,2.3269446,86.842102,20.525452,261.28683,"Subsistence","No","Rice",545121,20.615128,121,"ApplyImprovedSeed",19.418425,38.066208,0,1232.2581
"29",766,39,8,4.1480317,3.0495553,79.451828,189.72855,"Subsistence","No","RiceAndMaize",333598.22,0,101,"None",15.142417,15.522437,414.28571,1144.301
"30",972,40,4,0.45500001,0,40,831.04395,"Subsistence","No","Rice",60874.406,0,11,"None",20.272249,10.439437,0,1247.595
