ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
50	10	10.3	61	62.89	899.96	 AgroPastoralist	 No	 RiceAndMaize	626675	20.49	21.15	4.88	0.88340	0.01037	0.04267	0.01387	0.03742	0.00545	0.00683
32	5	14.36	96	71.88	538.28	 AgroPastoralist	 No	 VegitAndRice	2337478	53.75	27.27	63	0.38313	0.04722	0.35824	0.14887	0.04543	0.00327	0.01384
34	7	2.43	56	96.09	815.31	 AgroPastoralist	 No	 RiceMaizeAndVegit	1562078	17.47	18.73	8.99	0.25984	0.24503	0.12878	0.12207	0.17314	0.01390	0.05724
50	3	7.07	63	73.05	749.9	 AgroPastoralist	 No	 RiceAndMaize	2140551	80.63	27.94	60.82	0.78165	0.03517	0.09984	0.01846	0.03151	0.01286	0.02051
48	7	10.62	41	92.97	796.07	 AgroPastoralist	 No	 Rice	2989798	7.39	15.44	20.86	0.29317	0.08996	0.15584	0.27560	0.14692	0.01850	0.02001
52	5	16.29	16	86.33	907.66	 Diversifier	 No	 RiceMaizeAndVegit	1857468	72.23	27.6	53.07	0.14819	0.12427	0.25590	0.09151	0.32551	0.02945	0.02517
27	7	7.78	12	51.56	526.74	 AgroPastoralist	 No	 RiceMaizeAndVegit	2263630	0.34	19.14	20.13	0.51114	0.21288	0.06189	0.08741	0.07501	0.01109	0.04058
49	1	6.56	40	92.58	746.05	 Diversifier	 No	 VegitAndRice	638983	39.98	23.64	51.13	0.15561	0.12383	0.46867	0.14001	0.03377	0.02795	0.05015
29	6	15.84	63	38.67	788.38	 Diversifier	 No	 RiceAndMaize	1623617	81.3	18.46	29.34	0.61469	0.16264	0.05305	0.07854	0.06686	0.00301	0.02122
55	2	14.74	72	4.3	615.23	 Diversifier	 No	 Maize	2780563	34.6	26.26	47.98	0.33631	0.37100	0.01762	0.18726	0.02108	0.03187	0.03487
33	10	8.49	96	44.14	511.35	 AgroPastoralist	 No	 Maize	1315919	55.43	18.13	14.08	0.37377	0.08661	0.18652	0.10346	0.16955	0.02139	0.05870
29	2	1.72	73	36.72	672.95	 AgroPastoralist	 No	 VegitAndRice	3531347	37.63	22.97	61.79	0.10994	0.41937	0.11355	0.28925	0.01725	0.00320	0.04744
41	11	10.88	7	40.63	799.92	 Diversifier	 No	 RiceAndMaize	3371344	65.84	18.06	3.66	0.55715	0.04343	0.03284	0.02087	0.25715	0.05389	0.03466
27	4	12.36	14	16.02	803.77	 AgroPastoralist	 No	 RiceMaizeAndVegit	983605	30.23	27.87	42.66	0.31242	0.16763	0.12420	0.26427	0.09677	0.00522	0.02948
42	7	1.14	48	11.72	534.43	 AgroPastoralist	 No	 RiceMaizeAndVegit	3482115	48.71	19.07	3.91	0.27012	0.12012	0.08793	0.04775	0.26470	0.11271	0.09667
48	4	4.95	7	39.84	726.82	 AgroPastoralist	 No	 Rice	2005163	1.01	23.57	48.95	0.17432	0.53923	0.15971	0.07583	0.02872	0.00442	0.01777
42	6	13.65	79	89.84	380.53	 Diversifier	 No	 RiceAndMaize	1574386	43.67	25.72	8.51	0.45506	0.02338	0.07981	0.07550	0.30294	0.05059	0.01272
54	4	13.71	61	53.13	292.03	 AgroPastoralist	 No	 RiceMaizeAndVegit	2891335	77.94	18.67	38.78	0.79667	0.03864	0.14048	0.01533	0.00447	0.00145	0.00297
