,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,751,59,4,1.214058,27.450981,35.425777,252.04726,Diversifier,No,RiceMaizeAndVegit,Yes,291937.88,7.3112698,101,CropMultipleTimes,25.359278,18.341143,414.28571,1144.301,3
2,762,47,4,0.9105435,87.75,84.685196,439.29807,Diversifier,No,RiceMaizeAndVegit,Yes,896967.75,2.588078,101,UseIrrigationAndFertilizerApplication,25.464638,18.011818,785.34033,1144.301,2
3,771,62,4,3.844517,0,59.422752,362.5943,Diversifier,No,RiceAndMaize,No,832732.88,0,101,ApplyImprovedSeed,18.221426,15.893529,414.28571,1144.301,6
4,772,26,3,2.0234301,55,66.666664,148.26309,Subsistence,No,Rice,Yes,889026.81,0,101,ApplyImprovedSeed,26.612041,14.785169,0,1144.301,3
5,774,27,4,1.214,0,62.661106,197.69357,Diversifier,No,RiceAndMaize,No,275408,52.009651,101,None,30.66617,14.554761,414.28571,1144.301,3
6,792,50,4,6.1714616,35.062241,53.547523,156.20287,Diversifier,No,RiceMaizeAndVegit,Yes,718734.31,0,101,ApplyFertilizer,21.957325,29.776499,1000,1040.9524,5
7,811,40,4,2.3269446,86.842102,20.525452,261.28683,Subsistence,No,Rice,Yes,545121,20.615128,121,ApplyImprovedSeed,19.418425,38.066208,0,1232.2581,10
8,840,45,4,4.6538892,74.816628,29.239765,87.883484,Subsistence,Yes,RiceAndMaize,Yes,596853.44,4.8235712,61,None,30.257118,16.121437,861.11108,1167.816,2
9,852,25,3,2.2257731,48.275864,71.337578,208.46689,Diversifier,Yes,RiceAndMaize,Yes,651787.31,0,61,None,15.88962,21.880701,861.11108,1167.816,6
10,865,46,8,14.669868,0.56657225,49.961567,48.125862,AgroPastoralist,No,RiceAndMaize,Yes,470379.28,0,61,None,15.998521,15.026527,861.11108,1167.816,4
11,867,40,5,2.6304591,9.6385546,32.432434,378.64114,Diversifier,Yes,Maize,Yes,125500,0,61,None,14.659055,15.475425,861.11108,0,5
12,868,42,11,16.996813,30.069929,66.018066,243.98692,AgroPastoralist,No,RiceAndMaize,Yes,573298.75,0,241,None,28.732304,48.941624,777.77777,1104.762,9
13,870,36,5,2.9339736,37.931034,75,79.073654,Subsistence,No,Rice,Yes,157428.59,0,241,None,23.567518,49.570732,0,1104.762,3
14,878,47,11,8.4984064,1.5310463,46.666668,415.01898,AgroPastoralist,No,Rice,Yes,994415.63,0,241,None,18.007696,40.958336,0,1104.762,10
15,881,34,8,7.689034,0,63.75,449.47128,AgroPastoralist,No,RiceAndMaize,No,767587.88,0,241,None,18.222,43.840649,805.68878,946.66669,1
16,889,43,7,8.2960634,10.455764,81.300812,134.88326,AgroPastoralist,Yes,Rice,Yes,1337663.4,0,241,None,18.233459,41.529434,777.77777,1104.762,4
17,892,39,5,1.5175725,21.917809,11.089988,96.206276,Subsistence,Yes,Rice,Yes,376900,6.2709966,23,None,14.396434,32.089657,0,1860,3
18,914,46,3,1.416401,0.19569471,44.216484,360.77353,Subsistence,No,Rice,Yes,1012833.3,0,23,UseIrrigation,30.361359,23.481607,0,1860,3
