,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
1,750,45,5,1.7199155,4.347826,19.461788,200.59125,Subsistence,No,RiceAndMaize,Yes,405027.19,0,101,None,17.59947,18.193504,414.28571,1144.301,10
2,751,59,4,1.214058,27.450981,35.425777,252.04726,Diversifier,No,RiceMaizeAndVegit,Yes,291937.88,7.3112698,101,CropMultipleTimes,25.359278,18.341143,414.28571,1144.301,3
3,752,49,4,2.1246016,33.333332,37.497826,146.85106,Subsistence,Yes,Rice,Yes,595077.19,32.27763,101,None,25.413345,18.50839,414.28571,1144.301,10
4,754,46,5,0.9105435,43.826088,33.333336,631.49097,Subsistence,Yes,VegitAndRice,Yes,1421.8079,0,101,ApplyFertilizer,17.452868,18.226015,0,1144.301,3
5,755,32,2,0.9105435,54.545456,47.074646,422.8244,Subsistence,No,Rice,Yes,220398.59,0,101,None,20.577631,19.077848,414.28571,1144.301,1
6,756,48,4,1.9222585,0.13351135,68.592438,389.64581,Diversifier,No,RiceAndMaize,Yes,323020.72,0,101,ApplyImprovedSeed,25.464638,17.982578,414.28571,1144.301,3
7,757,55,5,2.9339736,59.299191,56.410255,379.34903,Diversifier,No,RiceAndMaize,Yes,921355.19,0,101,ApplyImprovedSeed,17.110718,18.963991,414.28571,1144.301,6
8,758,38,4,1.0117151,52.189781,50,270.82724,Subsistence,No,Rice,Yes,74681.438,0,101,None,25.413345,18.50839,0,1144.301,4
9,759,46,4,2.0234301,96.610168,63.470318,87.47522,Diversifier,Yes,RiceMaizeAndVegit,Yes,1399863.6,59.099186,101,UseIrrigationAndFertilizerApplication,25.464638,17.996923,414.28571,1144.301,9
10,760,55,4,3.439831,76.719574,71.498627,439.55649,Subsistence,Yes,RiceMaizeAndVegit,Yes,517500.25,7.2886271,101,ApplyFertilizer,16.686722,16.323246,414.28571,1144.301,10
11,761,55,4,4.8562322,31.04612,49.109791,183.06374,Diversifier,No,RiceMaizeAndVegit,Yes,147613.84,0,101,None,17.862169,17.885519,414.28571,1144.301,9
12,762,47,4,0.9105435,87.75,84.685196,439.29807,Diversifier,No,RiceMaizeAndVegit,Yes,896967.75,2.588078,101,UseIrrigationAndFertilizerApplication,25.464638,18.011818,785.34033,1144.301,2
13,763,53,6,2.4281161,0.083402835,12.446802,493.79846,Diversifier,No,RiceMaizeAndVegit,Yes,169391.23,0,101,UseIrrigationAndFertilizerApplication,21.396549,18.584782,414.28571,1144.301,8
