"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"1",750,45,5,1.7199155,4.347826,19.461788,200.59125,"Subsistence","No","RiceAndMaize",405027.19,0,101,"None",17.59947,18.193504,414.28571,1144.301
"2",809,41,5,4.8562322,73.5,0,82.368385,"Subsistence","No","Rice",1494141.9,19.980663,121,"None",18.112173,63.413219,0,1232.2581
"3",929,39,4,0.9105435,21.538462,46.875,214.15781,"Diversifier","Yes","RiceAndMaize",182581.22,0,83,"None",25.241495,4.7451982,805.68878,1312.6154
"4",853,38,4,0.9105435,0.62630481,55.555557,1052.1189,"Subsistence","Yes","Rice",447596.38,17.364786,61,"ApplyImprovedSeed",14.700771,14.711404,0,1167.816
"5",1041,33,6,0.50585753,0,0,245.45778,"Diversifier","Yes","Maize",8861.1113,0,83,"CropMultipleTimes",26.132467,3.1250215,1111.1111,0
"6",1006,69,4,0.60702902,37.533512,32.258064,614.46814,"Subsistence","No","VegitAndRice",81191.172,0,91,"None",18.805321,2.122117,0,1403.9215
"7",1023,43,8,2.9339736,21.276596,75.621544,96.115387,"Subsistence","No","Rice",258940.69,0,11,"UseIrrigationAndFertilizerApplication",26.420149,12.373553,0,1247.595
"8",906,51,4,1.821087,3.5190616,13.993175,374.50159,"Subsistence","No","RiceAndMaize",317294.16,0,23,"None",24.78945,23.570866,611.11108,1138.2858
"9",876,64,11,0.1011715,2.1505377,70.731705,2757.6936,"Diversifier","No","RiceAndMaize",290909.09,0,241,"None",18.571461,49.692764,777.77777,1104.762
"10",881,34,8,7.689034,0,63.75,449.47128,"AgroPastoralist","No","RiceAndMaize",767587.88,0,241,"None",18.222,43.840649,805.68878,946.66669
"11",945,29,2,0.80937201,0.57306588,66.666664,862.39703,"Subsistence","Yes","Rice",187614.3,0,23,"None",25.118311,19.517048,0,1138.2858
"12",1042,78,2,1.0117151,7.6923075,1.7193948,192.74202,"Subsistence","No","Rice",73387.5,0,83,"None",25.033855,3.9936266,0,1466.6666
"13",1017,37,4,2.1246016,25.992781,90,260.75476,"Subsistence","No","Rice",329348.13,0,11,"None",24.953814,12.719184,0,1247.595
"14",796,36,4,1.214058,71.91011,46.666668,879.69434,"Subsistence","No","Rice",274032.25,0,121,"None",23.567518,40.029663,0,1232.2581
"15",956,35,3,1.3152295,75.949364,66.666664,360.39337,"Diversifier","Yes","Maize",233144.64,0,11,"None",16.99276,4.7152462,944.44446,0
"16",1036,57,4,1.0117151,52,18.32617,222.39464,"Diversifier","No","RiceAndMaize",128381.23,0,83,"None",16.645836,3.4409809,1111.1111,1466.6666
"17",868,42,11,16.996813,30.069929,66.018066,243.98692,"AgroPastoralist","No","RiceAndMaize",573298.75,0,241,"None",28.732304,48.941624,777.77777,1104.762
"18",992,75,7,1.618744,1.5432099,46.153847,400.31036,"Subsistence","Yes","RiceAndMaize",275447.44,15.712755,91,"ApplyImprovedSeed",31.657511,1.9815508,805.68878,1403.9215
"19",936,50,6,1.0117151,7.0588236,43.47826,168.03151,"Subsistence","No","Rice",167863.94,21.256769,23,"None",24.022306,19.215271,0,1138.2858
"20",760,55,4,3.439831,76.719574,71.498627,439.55649,"Subsistence","Yes","RiceMaizeAndVegit",517500.25,7.2886271,101,"ApplyFertilizer",16.686722,16.323246,414.28571,1144.301
"21",842,70,5,1.618744,6.818182,42.025318,81.544701,"Diversifier","No","RiceAndMaize",112444.83,0,61,"None",17.9793,24.862364,861.11108,1167.816
"22",911,34,4,1.214058,0.36101082,86.666664,228.16043,"Subsistence","No","Rice",247878.91,0,23,"ApplyFertilizer",31.711229,23.475788,0,1138.2858
"23",962,46,6,3.642174,57.324837,59.999996,28.737417,"Subsistence","No","Rice",709303.63,78.985092,11,"None",23.979164,15.493399,0,1247.595
"24",810,50,6,2.4281161,72.781731,33.742332,45.834572,"Subsistence","No","Rice",107609.92,22.04101,121,"None",26.38093,41.3634,0,1232.2581
"25",877,45,8,4.1480317,29.779692,21.428572,238.00446,"Subsistence","No","Rice",644375.06,0,241,"None",17.15732,49.333759,0,1104.762
"26",793,45,3,1.618744,14.792899,23.455826,104.40193,"Diversifier","Yes","RiceAndMaize",303238.09,0,101,"None",17.503759,34.762833,1000,1040.9524
"27",991,65,5,1.416401,0.4223865,37.142857,668.59595,"Diversifier","No","RiceAndMaize",214574.78,26.728561,91,"None",31.657511,1.8900648,805.68878,1403.9215
"28",790,48,3,4.6538892,91.616768,4.2105265,430.60757,"Subsistence","No","RiceAndMaize",2002238.1,0.55666,101,"None",21.610201,29.975672,1000,1040.9524
"29",1046,34,3,0.60702902,40,0,172.9736,"Subsistence","Yes","Rice",84000,0,83,"None",16.933517,2.8488955,0,1466.6666
