ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
50	10	10.3	61	62.89	899.96	 AgroPastoralist	 No	 RiceAndMaize	626675	20.49	21.15	4.88	0.99856	0.00000	0.00001	0.00000	0.00000	0.00000	0.00143
32	5	14.36	96	71.88	538.28	 AgroPastoralist	 No	 VegitAndRice	2337478	53.75	27.27	63	0.00016	0.00002	0.00602	0.00000	0.78118	0.00000	0.21262
34	7	2.43	56	96.09	815.31	 AgroPastoralist	 No	 RiceMaizeAndVegit	1562078	17.47	18.73	8.99	0.11341	0.00014	0.00000	0.00000	0.00000	0.00000	0.88645
50	3	7.07	63	73.05	749.9	 AgroPastoralist	 No	 RiceAndMaize	2140551	80.63	27.94	60.82	0.98712	0.00000	0.00000	0.00000	0.00807	0.00000	0.00480
48	7	10.62	41	92.97	796.07	 AgroPastoralist	 No	 Rice	2989798	7.39	15.44	20.86	0.15226	0.03087	0.00000	0.78279	0.03059	0.00000	0.00348
52	5	16.29	16	86.33	907.66	 Diversifier	 No	 RiceMaizeAndVegit	1857468	72.23	27.6	53.07	0.00000	0.00001	0.00000	0.00000	0.98061	0.00000	0.01938
27	7	7.78	12	51.56	526.74	 AgroPastoralist	 No	 RiceMaizeAndVegit	2263630	0.34	19.14	20.13	0.00000	0.94061	0.00000	0.00000	0.00000	0.00000	0.05939
49	1	6.56	40	92.58	746.05	 Diversifier	 No	 VegitAndRice	638983	39.98	23.64	51.13	0.00003	0.00012	0.00173	0.00040	0.00005	0.00000	0.99766
29	6	15.84	63	38.67	788.38	 Diversifier	 No	 RiceAndMaize	1623617	81.3	18.46	29.34	0.76786	0.17611	0.00000	0.00000	0.04685	0.00000	0.00918
55	2	14.74	72	4.3	615.23	 Diversifier	 No	 Maize	2780563	34.6	26.26	47.98	0.00003	0.89293	0.00000	0.00001	0.03796	0.00000	0.06907
33	10	8.49	96	44.14	511.35	 AgroPastoralist	 No	 Maize	1315919	55.43	18.13	14.08	0.00000	0.19515	0.68981	0.00001	0.00003	0.00000	0.11500
29	2	1.72	73	36.72	672.95	 AgroPastoralist	 No	 VegitAndRice	3531347	37.63	22.97	61.79	0.02019	0.92384	0.00000	0.00003	0.00000	0.00000	0.05593
41	11	10.88	7	40.63	799.92	 Diversifier	 No	 RiceAndMaize	3371344	65.84	18.06	3.66	0.90636	0.00494	0.01257	0.00000	0.06139	0.00000	0.01474
27	4	12.36	14	16.02	803.77	 AgroPastoralist	 No	 RiceMaizeAndVegit	983605	30.23	27.87	42.66	0.00001	0.59084	0.00000	0.00000	0.32162	0.00000	0.08754
42	7	1.14	48	11.72	534.43	 AgroPastoralist	 No	 RiceMaizeAndVegit	3482115	48.71	19.07	3.91	0.08152	0.00001	0.00000	0.00000	0.00027	0.00000	0.91821
48	4	4.95	7	39.84	726.82	 AgroPastoralist	 No	 Rice	2005163	1.01	23.57	48.95	0.00042	0.00000	0.00000	0.00000	0.00000	0.00000	0.99958
42	6	13.65	79	89.84	380.53	 Diversifier	 No	 RiceAndMaize	1574386	43.67	25.72	8.51	0.49413	0.00000	0.00001	0.00000	0.49928	0.00000	0.00657
54	4	13.71	61	53.13	292.03	 AgroPastoralist	 No	 RiceMaizeAndVegit	2891335	77.94	18.67	38.78	0.96703	0.03220	0.00004	0.00000	0.00000	0.00000	0.00073
37	9	8.3	50	81.25	53.48	 AgroPastoralist	 No	 RiceMaizeAndVegit	1143608	20.83	26.93	10.69	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
37	3	5.08	67	74.61	280.49	 AgroPastoralist	 No	 VegitAndRice	1783621	69.2	14.84	54.04	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
45	6	13.46	20	79.3	84.26	 AgroPastoralist	 No	 VegitAndRice	2755947	2.35	28.21	7.78	0.99999	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
56	4	10.55	20	90.63	149.67	 AgroPastoralist	 No	 RiceMaizeAndVegit	786678	63.83	15.24	59.85	0.00010	0.90394	0.00000	0.00000	0.00000	0.00000	0.09596
49	9	8.69	47	51.95	492.11	 AgroPastoralist	 No	 RiceMaizeAndVegit	2743639	18.81	29.89	11.66	0.00000	0.97927	0.00000	0.00000	0.00000	0.00000	0.02073
38	5	5.98	28	74.22	88.11	 AgroPastoralist	 No	 VegitAndRice	1635925	41.66	23.17	46.53	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
41	6	13.58	90	21.48	395.92	 Diversifier	 No	 Rice	1955932	53.41	28.81	19.16	0.80184	0.00000	0.00000	0.00000	0.00000	0.00000	0.19816
55	4	15.45	53	39.06	57.32	 Diversifier	 No	 RiceMaizeAndVegit	3260573	18.48	18.87	31.03	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
30	9	8.43	81	49.61	449.79	 Diversifier	 No	 RiceMaizeAndVegit	1180532	57.78	23.97	18.92	0.00002	0.00001	0.99996	0.00000	0.00000	0.00000	0.00001
37	2	4.75	75	33.2	376.68	 Diversifier	 No	 VegitAndRice	2952874	45.02	21.76	36.12	0.42806	0.00002	0.00001	0.57191	0.00000	0.00000	0.00000
40	9	15.32	21	20.31	415.16	 AgroPastoralist	 No	 VegitAndRice	3494423	64.5	27.8	15.29	0.34198	0.00000	0.48945	0.00000	0.00000	0.12954	0.03902
36	4	9.27	9	19.92	172.75	 AgroPastoralist	 No	 Maize	1069760	13.44	21.89	50.41	0.00000	0.00000	0.00000	0.00035	0.99965	0.00000	0.00000
54	10	3.59	48	47.27	130.43	 Diversifier	 No	 RiceMaizeAndVegit	2509789	59.13	24.71	26.43	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000
31	6	4.69	26	27.73	407.46	 Diversifier	 No	 RiceAndMaize	1906700	36.28	16.92	40.48	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000
54	8	14.29	54	64.06	1000	 Subsistence	 No	 RiceAndMaize	1672849	12.09	14.97	37.09	0.00004	0.00036	0.00000	0.00079	0.00020	0.00000	0.99861
45	6	12.88	68	85.16	973.07	 Diversifier	 No	 Maize	2251322	52.74	31.1	11.17	0.00007	0.00007	0.00458	0.00000	0.00009	0.00038	0.99482
40	9	5.91	61	87.11	942.29	 Subsistence	 No	 VegitAndRice	1414383	18.14	17.52	51.62	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
35	4	8.11	70	77.73	880.72	 Diversifier	 No	 VegitAndRice	2300554	73.23	30.83	14.32	0.00000	0.00566	0.98452	0.00000	0.00000	0.00000	0.00981
44	7	9.33	16	98.44	757.6	 Subsistence	 No	 VegitAndRice	2719024	4.03	19.81	59.61	0.00000	0.00003	0.00001	0.00004	0.83014	0.00000	0.16978
49	4	11.78	25	86.72	738.36	 Subsistence	 No	 VegitAndRice	971297	83.31	29.08	15.53	0.00000	0.05746	0.00000	0.00002	0.93371	0.00000	0.00881
44	6	7.01	33	78.13	769.14	 Diversifier	 No	 RiceMaizeAndVegit	2115935	11.09	19.88	50.16	0.00000	0.00000	0.00001	0.00000	0.99782	0.00000	0.00216
