ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
70	1	6.4299998	33	12.5	769.14001	 AgroPastoralist	 Yes	 Maize	2682100	47.029999	30.629999	12.63	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
85	8	2.3	42	34.380001	261.25	 Diversifier	 No	 RiceMaizeAndVegit	3322112	65.839996	22.83	15.53	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
81	5	16.23	22	29.690001	861.47998	 Subsistence	 Yes	 VegitAndRice	2239014	68.529999	29.549999	30.059999	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
65	10	12.36	45	6.25	430.54999	 Diversifier	 Yes	 RiceAndMaize	3519039	77.940002	25.25	5.8400002	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
83	6	3.5899999	2	9.3800001	168.91	 Diversifier	 No	 VegitAndRice	1943624	5.3800001	29.01	40.720001	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
58	10	4.3699999	48	15.63	661.40997	 Subsistence	 No	 Maize	762062	34.939999	27.940001	56.220001	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
73	3	9.2700005	3	25	338.20001	 AgroPastoralist	 Yes	 RiceAndMaize	1795929	29.559999	30.09	60.09	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
76	9	15.71	31	37.5	923.04999	 Diversifier	 Yes	 RiceAndMaize	1402075	1.34	25.52	45.560001	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
68	1	0.75999999	81	40.630001	615.22998	 Diversifier	 Yes	 RiceMaizeAndVegit	1352843	72.559998	21.219999	21.34	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
86	8	8.4899998	77	0	292.03	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	417440	57.779999	15.04	27.16	0.000003	0.333329	0.333329	0.333329	0.000003	0.000003	0.000003
57	1	16.48	53	20.309999	445.94	 Diversifier	 No	 Rice	1155916	61.810001	17.73	14.56	0.499988	0.000005	0.000005	0.000005	0.499987	0.000005	0.000005
87	6	11.84	92	17.190001	76.559998	 Diversifier	 No	 RiceAndMaize	1599002	45.689999	18.799999	29.09	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
59	3	5.9099998	64	39.060001	492.10999	 Subsistence	 Yes	 Maize	3420576	12.09	15.31	62.029999	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
74	6	7.46	89	26.559999	969.21997	 Subsistence	 Yes	 VegitAndRice	2091319	21.5	19.610001	32.970001	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
61	4	13.39	95	43.75	230.47	 Diversifier	 No	 RiceAndMaize	3026722	0	22.030001	61.060001	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
67	7	9.5200005	72	14.06	953.83002	 AgroPastoralist	 No	 VegitAndRice	2977490	30.91	16.379999	43.630001	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
79	5	6.9499998	13	67.190002	1000	 AgroPastoralist	 No	 VegitAndRice	2288246	26.879999	19.34	26.190001	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
60	10	4.8800001	34	57.810001	461.32999	 AgroPastoralist	 No	 RiceAndMaize	2731332	9.4099998	14.5	1	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
71	5	9.7799997	30	78.129997	892.27002	 Subsistence	 Yes	 VegitAndRice	2928258	41.66	15.84	13.59	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
63	8	14.68	6	54.689999	184.3	 Diversifier	 Yes	 RiceMaizeAndVegit	3174417	4.0300002	21.76	11.66	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
77	3	7.1999998	9	98.440002	384.38	 Subsistence	 No	 RiceAndMaize	712830	36.279999	17.459999	38.779999	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
75	9	0.5	16	51.560001	707.58002	 Diversifier	 No	 RiceAndMaize	1500538	79.279999	19.879999	46.529999	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
88	5	13.65	25	96.879997	138.13	 Diversifier	 Yes	 VegitAndRice	1451306	48.380001	19.07	35.880001	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
62	11	14.16	38	68.75	538.28003	 Diversifier	 Yes	 Maize	614367	60.470001	17.99	54.279999	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
64	4	2.05	59	81.25	738.35999	 AgroPastoralist	 Yes	 Rice	909757	22.84	25.790001	8.75	0.499988	0.000005	0.000005	0.000005	0.499987	0.000005	0.000005
72	7	3.0799999	100	76.559998	199.69	 Diversifier	 Yes	 VegitAndRice	1845160	2.6900001	29.280001	22.309999	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
78	2	12.88	80	53.130001	907.65997	 Diversifier	 No	 RiceMaizeAndVegit	1205148	18.809999	24.709999	19.41	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
82	9	10.81	83	92.190002	322.81	 Subsistence	 No	 RiceMaizeAndVegit	1549770	32.25	31.43	4.8800001	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
84	4	2.5599999	61	64.059998	215.08	 Diversifier	 Yes	 RiceAndMaize	3125185	75.25	23.91	57.189999	0.222222	0.333332	0.000001	0.333332	0.000001	0.111111	0.000001
69	10	6.1700001	73	89.059998	984.60999	 Diversifier	 No	 Rice	2879027	52.41	26.059999	53.310001	0.499988	0.000005	0.000005	0.000005	0.499987	0.000005	0.000005
66	2	12.1	56	95.309998	415.16	 AgroPastoralist	 No	 Maize	3469808	69.879997	23.639999	47.5	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
80	8	15.97	86	71.879997	646.02002	 AgroPastoralist	 No	 RiceMaizeAndVegit	2337478	71.220001	27.67	39.75	0.666654	0.000003	0.000003	0.333329	0.000003	0.000003	0.000003
56	6	8.75	50	50	507.5	 Diversifier	 No	 VegitAndRice	1992856	43	23.1	32	0.000010	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010
42	11	11.07	67	87.5	245.86	 Subsistence	 No	 Rice	1303611	38.970001	15.58	51.380001	0.599998	0.066667	0.000001	0.133333	0.200000	0.000001	0.000001
27	4	15.2	58	65.629997	753.75	 Diversifier	 Yes	 RiceAndMaize	663599	20.16	23.370001	48.470001	0.399996	0.000002	0.199999	0.399996	0.000002	0.000002	0.000002
31	7	1.27	78	70.309998	153.52	 AgroPastoralist	 No	 VegitAndRice	1746697	17.469999	16.65	33.939999	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010
47	2	5.1399999	55	93.75	584.45001	 Diversifier	 No	 Maize	466672	8.0600004	20.950001	58.16	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
29	6	13.91	98	90.629997	846.09003	 AgroPastoralist	 Yes	 VegitAndRice	2042087	80.629997	17.190001	23.280001	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010
54	2	13.13	52	84.379997	353.59	 AgroPastoralist	 Yes	 Rice	3223649	51.060001	18.26	7.7800002	0.624996	0.000001	0.000001	0.125000	0.000001	0.249999	0.000001
