IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,ricePrice
750,45,5,1.7199155,4.347826,19.461788,200.59125,Subsistence,No,RiceAndMaize,Yes,405.02719,0,101,None,17.59947,18.193504,414.28571,1144.301
751,59,4,1.214058,27.450981,35.425777,252.04726,Diversifier,No,RiceMaizeAndVegit,Yes,291.93788,7.3112698,101,CropMultipleTimes,25.359278,18.341143,414.28571,1144.301
752,49,4,2.1246016,33.333332,37.497826,146.85106,Subsistence,Yes,Rice,Yes,595.07719,32.27763,101,None,25.413345,18.50839,414.28571,1144.301
753,55,6,4.8562322,14.072847,65.180099,124.37626,Diversifier,Yes,VegitAndMaize,Yes,234.05144,0,101,ApplyFertilizer,17.452868,18.226015,414.28571,1144.301
754,46,5,0.9105435,43.826088,33.333336,631.49097,Subsistence,Yes,VegitAndRice,Yes,1.4218079,0,101,ApplyFertilizer,17.452868,18.226015,0,1144.301
755,32,2,0.9105435,54.545456,47.074646,422.8244,Subsistence,No,Rice,Yes,220.39859,0,101,None,20.577631,19.077848,414.28571,1144.301
756,48,4,1.9222585,0.13351135,68.592438,389.64581,Diversifier,No,RiceAndMaize,Yes,323.02072,0,101,ApplyImprovedSeed,25.464638,17.982578,414.28571,1144.301
757,55,5,2.9339736,59.299191,56.410255,379.34903,Diversifier,No,RiceAndMaize,Yes,921.35519,0,101,ApplyImprovedSeed,17.110718,18.963991,414.28571,1144.301
758,38,4,1.0117151,52.189781,50,270.82724,Subsistence,No,Rice,Yes,74.681438,0,101,None,25.413345,18.50839,0,1144.301
759,46,4,2.0234301,96.610168,63.470318,87.47522,Diversifier,Yes,RiceMaizeAndVegit,Yes,1399.8636,59.099186,101,UseIrrigationAndFertilizerApplication,25.464638,17.996923,414.28571,1144.301
760,55,4,3.439831,76.719574,71.498627,439.55649,Subsistence,Yes,RiceMaizeAndVegit,Yes,517.50025,7.2886271,101,ApplyFertilizer,16.686722,16.323246,414.28571,1144.301
761,55,4,4.8562322,31.04612,49.109791,183.06374,Diversifier,No,RiceMaizeAndVegit,Yes,147.61384,0,101,None,17.862169,17.885519,414.28571,1144.301
762,47,4,0.9105435,87.75,84.685196,439.29807,Diversifier,No,RiceMaizeAndVegit,Yes,896.96775,2.588078,101,UseIrrigationAndFertilizerApplication,25.464638,18.011818,785.34033,1144.301
763,53,6,2.4281161,0.083402835,12.446802,493.79846,Diversifier,No,RiceMaizeAndVegit,Yes,169.39123,0,101,UseIrrigationAndFertilizerApplication,21.396549,18.584782,414.28571,1144.301
764,61,8,2.8328021,1.6806723,0,84.015755,Diversifier,Yes,RiceAndMaize,Yes,108.04061,64.803574,101,None,17.157154,17.086859,414.28571,1144.301
765,32,4,4.2492032,34.117645,80,220.04126,Subsistence,No,Rice,Yes,834.81906,0,101,None,15.547224,3.9284773,0,1144.301
766,39,8,4.1480317,3.0495553,79.451828,189.72855,Subsistence,No,RiceAndMaize,Yes,333.59822,0,101,None,15.142417,15.522437,414.28571,1144.301
767,42,7,4.6538892,87.628868,0,104.21391,Subsistence,No,Rice,Yes,1416.4978,13.710546,101,None,16.587296,16.986769,0,1144.301
